id|created_at|text
1022548065042006017|2018-07-26 18:23:51|"b""While waiting for $CMG earnings release, let's review its last quarters' performance. They experienced a high shoot\xe2\x80\xa6 https://t.co/rghQjuFfDK"""
1022540072107819008|2018-07-26 17:52:05|"b""RT @business: This analyst saw Facebook's decline coming and says the rout is not over https://t.co/B7hnfzQ0et https://t.co/xXzwXRQhoq"""
1022539996274802688|2018-07-26 17:51:47|b'RT @business: An ion engine startup wants to change the economics of Earth orbit https://t.co/glQf0QjZwt https://t.co/mTIlYeSyGK'
1022526331484073984|2018-07-26 16:57:29|"b""$VBEX's seasonal performance is in the bearish position at the moment. The price is expected to fall from $38.33 to\xe2\x80\xa6 https://t.co/AGLc1Fs44s"""
1022510827738464256|2018-07-26 15:55:53|b'$HON did great last quarter with beating its analysts EPS expectations by $0.11 per share.\n#earnings #estimates\xe2\x80\xa6 https://t.co/kBNFna8PuH'
1022492159667265538|2018-07-26 14:41:42|b'$GILD is currently trading at $77.9, but analysts stay optimistic about the company and give it an average of $88.2\xe2\x80\xa6 https://t.co/R6KGERmdSD'
1022179065288110080|2018-07-25 17:57:34|"b""$PM's last quarter great performance is not a surprise. They always beat analysts' predictions by high amounts. https://t.co/LR7Qh2R91p"""
1022162936981323777|2018-07-25 16:53:29|"b""$FMAO's 71.43% accurate Primary Trend analysis shows bullish continuation signals. The company failed the Keltner C\xe2\x80\xa6 https://t.co/1BBuUOIQLj"""
1022161044632793088|2018-07-25 16:45:58|"b""RT @business: Let's not debate over whether or not climate change is real, because the home prices speak for themselves https://t.co/Snu1oB\xe2\x80\xa6"""
1022161013515460610|2018-07-25 16:45:51|b'RT @business: Coca-Cola thinks it may have found a new drink that will give soda sales a shot: Coke Plus Coffee \xe2\x98\x95\xef\xb8\x8fhttps://t.co/WAteySm4nN h\xe2\x80\xa6'
1022147799562035200|2018-07-25 15:53:20|"b""$AGR's seasonal price is expected to rise by amazing 43.35% (from $50.09 to $71.80) in the next 20 days https://t.co/KdzASNdBkV"""
