;id;created_at;text
7;1022162936981323777;2018-07-25 16:53:29;"b""$FMAO's 71.43% accurate Primary Trend analysis shows bullish continuation signals. The company failed the Keltner C\xe2\x80\xa6 https://t.co/1BBuUOIQLj"""
20;1021824836853673984;2018-07-24 18:30:00;"b""Very accurate analysts' target price for $BABA is showing #bullish signals. Currently, the company is traded at $18\xe2\x80\xa6 https://t.co/pLSemuhT8s"""
41;1020367740668870657;2018-07-20 18:00:01;"b""$MRT's 80.77% accurate Primary Trend analysis shows bullish reversal signals. The company failed the primary trend\xe2\x80\xa6 https://t.co/8GR4oDOSRN"""
42;1020354532709228546;2018-07-20 17:07:32;"b""$RARX's technical MACD analysis is giving off 65% accurate #bullish signals.\n#stocks #trading #stockstowatch https://t.co/T6BE0Ku0NL"""
50;1019997800795262977;2018-07-19 17:30:01;"b""$AQB's technical Stochastic RSI analysis is giving off 92% accurate bullish signals.\n#stocks #technicals #finance https://t.co/3e6FfA6gL3"""
70;1019227724433457152;2018-07-17 14:30:00;"b""$CCT's 75% accurate Primary Trend analysis shows bullish reversal signals. The company failed the upward secondary\xe2\x80\xa6 https://t.co/VUY3kytdq2"""
88;1017808374178590720;2018-07-13 16:30:01;"b""$SYNH's technical MACD analysis is giving off 75% accurate #bullish signals.\n#stocks #trading #stockstowatch https://t.co/JE2Dsy8XsP"""
110;1017068504149721100;2018-07-11 15:30:02;"b""Analysts' rating indicator for $CODI is giving off Strong Buy signals, according to the latest analysts' prediction\xe2\x80\xa6 https://t.co/17T5lc9C6d"""
133;1016343721808400384;2018-07-09 15:30:00;"b""Quite accurate analysts' target price $EL is showing #bullish signals. Currently, the company is traded at $142.42,\xe2\x80\xa6 https://t.co/UAMMvQnOrg"""
150;1014984765567483904;2018-07-05 21:30:00;"b""$MRT's 83% accurate Primary Trend analysis shows bullish reversal signals. The company failed the primary trend fla\xe2\x80\xa6 https://t.co/LHWd4pyWxc"""
174;1014509133243015168;2018-07-04 14:00:00;b'Are you an options trader? Check out $PYPL, a company that is showing bullish signals with high implied volatility\xe2\x80\xa6 https://t.co/Cu1wtfrQl4'
276;1011819481230991364;2018-06-27 03:52:17;b'RT @CNBC: Apple co-founder Steve Wozniak says the hype around blockchain signals a bubble\xc2\xa0 https://t.co/NEZfYMAqwb'
